"GroupId","OpenDate","WorkingTimes"
SR,"20141212","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
CF,"20141212","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
TA,"20141212","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
RM,"20141212","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
MA,"20141212","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
a,"20141226","[{""Begin"": ""21:00:00"", ""End"": ""02:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
a,"20150508","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
b,"20141226","[{""Begin"": ""21:00:00"", ""End"": ""02:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
b,"20150508","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
m,"20141226","[{""Begin"": ""21:00:00"", ""End"": ""02:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
m,"20150508","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
y,"20141226","[{""Begin"": ""21:00:00"", ""End"": ""02:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
y,"20150508","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
p,"20140704","[{""Begin"": ""21:00:00"", ""End"": ""02:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
p,"20150508","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
i,"20141226","[{""Begin"": ""21:00:00"", ""End"": ""02:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
i,"20150508","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
j,"20140704","[{""Begin"": ""21:00:00"", ""End"": ""02:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
j,"20150508","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
jm,"20141226","[{""Begin"": ""21:00:00"", ""End"": ""02:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
jm,"20150508","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
ni,"20150327","[{""Begin"": ""21:00:00"", ""End"": ""01:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
sn,"20150327","[{""Begin"": ""21:00:00"", ""End"": ""01:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
OI,"20150611","[{""Begin"": ""21:00:00"", ""End"": ""23:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
